採購單號,採購單日期,客戶代號,客戶PO單號,出貨,Item#,品名,尺寸,客戶產品顏色,出貨日期,外箱 PC-IN,數量,(單位),料號,製作規範,工廠代號
300063935,2022-9-21,AS000,3007311,TG0099,4933155,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_58""*48""_1E11灰色GRAY_TG008","58""*48""",GRAY,2022-12-7,2,174,EA,9TG008FW24022,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933156,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_59""*48""_1E11灰色GRAY_TG008","59""*48""",GRAY,2022-12-7,2,396,EA,9TG008FW24023,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933157,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_70""*48""_1E11灰色GRAY_TG008","70""*48""",GRAY,2022-12-7,2,172,EA,9TG008FW24024,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933158,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_23""*64""_1E11灰色GRAY_TG008","23""*64""",GRAY,2022-12-7,3,171,EA,9TG008FW24025,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933159,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_27""*64""_1E11灰色GRAY_TG008","27""*64""",GRAY,2022-12-7,3,156,EA,9TG008FW24026,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933160,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_30""*64""_1E11灰色GRAY_TG008","30""*64""",GRAY,2022-12-7,3,156,EA,9TG008FW24027,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933161,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_32""*64""_1E11灰色GRAY_TG008","32""*64""",GRAY,2022-12-7,3,162,EA,9TG008FW24028,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933162,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_34""*64""_1E11灰色GRAY_TG008","34""*64""",GRAY,2022-12-7,3,162,EA,9TG008FW24029,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933163,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_36""*64""_1E11灰色GRAY_TG008","36""*64""",GRAY,2022-12-7,3,162,EA,9TG008FW24030,TG008FW24B03,CH001
300063935,2022-9-21,AS000,3007311,TG0099,4933164,"2""PVC 無拉仿木共押百葉窗(套管梯帶)-Trim@Home CF8_39""*64""_1E11灰色GRAY_TG008","39""*64""",GRAY,2022-12-7,3,150,EA,9TG008FW24031,TG008FW24B03,CH001
