客戶別,出貨地代碼,出貨地,國別
TG004,TG0955,"MOUNT VERNON,TX",USA
TG004,TG0960,"STATESVILLE,NC",USA
TG004,TG0961,"MINERSVILLE,PA",USA
TG004,TG0962,"VALDOSTA,GA",USA
TG004,TG0964,"NORTH WILKESBORO,NC",USA
TG004,TG0965,"CHEYENNE,WY",USA
TG004,TG0966,"PERRIS,CA",USA
TG004,TG0990,"FINDLAY,OH",USA
TG004,TG0992,"NORTH VERNON,IN",USA
TG004,TG1419,"KISSIMMEE,FL",USA
TG004,TG1420,"GARYSBURG,NC",USA
TG004,TG1421,"PLAINFIELD,CT",USA
TG004,TG1436,"LEBANON,OR",USA
TG004,TG1439,"PORT WENTWORTH,GA",USA
TG004,TG1440,"ROCKFORD,IL",USA
TG004,TG1449,"PITTSTON,PA",USA
TG004,TG1457,"ADAIRSVILLE,GA",USA
TG004,TG3282,"CHESAPEAKE,VA",USA
TG004,TG3311,"PLEASANT VIEW,TN",USA
TG004,TG3502,"CARSON,CA",USA
TG004,TG3507,"CHESAPEAKE,VA",USA
TG004,TG4069,"RINCON, GA",USA
TG004,TG1450,"MORENO VALLEY,CCA",USA
TG004,TG3106,"BETHLEHEM,PA",USA
TG008,TG3110,"MILTON,ON",CAN
TG008,TG0099,"BOUCHERVILLE,QC",CAN
TG008,TG0075,"CALGARY,AB ",CAN
